,reference
714,Pemerintah Sintang
715,Pemkab Aceh Tenggara
716,Pemkab Aceh Timur
717,Pemkab Berau
718,Pemkab Jayawijaya
719,Pemkab Kaimana
720,Pemkab Lampung Tengah
721,Pemkab Lingga
722,Pemkab Paser
723,Pemkab Pringsewu
724,Perum PNRI
725,Perusahaan Umum Percetakan Negara Republik Indonesia
726,PT Taspen (Persero)
727,PT Taspen KC Bengkulu
728,PT HIN
729,Inna Hotels and Resorts
730,Pegadaian
731,PT Pegadaian Area Samarinda
732,Pertani
733,PT Pertani
734,PT PPA
735,Perusahaan Pengelola Aset
736,PT PPI
737,Perusahaan Perdagangan Indonesia
738,PT Semen Baturaja
739,Semen Baturaja
740,PT Iglas Indonesia
741,PT Iglas
742,PT Industri Gelas
743,PT Kereta Api Indonesia 
744,PT KAI
745,Kementerian Koperasi dan UKM
746,KemenkopUKM
747,PANRB
748,Kemen PANRB
749,Kemen PPPA
750,Kementerian PP & PA
751,Badan Pengawas Pemilu
752,Inspektur Utama Badan Pengawas Pemilihan Umum
753,Badan Pengusahaan Batam (BP Batam)
754,BP Batam
755,BPS Provinsi Sulawesi Utara
756,Badan Pusat Statistik Provinsi Bali
757,Badan SAR Nasional (Basarnas)
758,Badan Nasional Pencarian dan Pertolongan (BNPP)
759,Komisi Nasional HAM
760,Komnas HAM
761,Komisi Pemberantasan Korupsi
762,KPK
763,Lembaga Administrasi Negara
764,LAN RI
765,Perpustakaan Nasional RI
766,Perpustakaan Nasional Republik Indonesia
767,KKRI
768,Komisi Kejaksaan RI
769,Komisi Penyiaran Indonesia Pusat
770,Komisi Penyiaran Indonesia Daerah
771,Badan Pengelola Keuangan Haji
772,BPKH
773,Lembaga Penjamin Simpanan
774,LPS
775,Otoritas Jasa Keuangan
776,OJK
777,Satuan Kerja Khusus Pelaksana Kegiatan Usaha Hulu Minyak Dan Gas Bumi
778,SKK Migas
779,Pemkot Jakarta Selatan
780,Pemerintah Kota Administrasi Jakarta Selatan
781,Pemkab Pohuwato
782,Pemerintah Pohuwato
783,Pemkab Muaro Jambi
784,Pemerintah Muaro Jambi
785,Pemkab Tanjung Jabung Barat
786,Pemerintah Tanjung Jabung Barat
787,Pemprov Jambi
788,Pemkab Bandung
789,Pemerintah Bandung
790,Pemkab Bogor
791,Pemerintah Bogor
792,Pemkab Cianjur
793,Pemerintah Cianjur
794,Pemkab Garut
795,Pemerintah Garut
796,Pemkab Majalengka
797,Pemerintah Majalengka
798,Pemkab Purwakarta
799,Pemerintah Purwakarta
800,Pemkot Bogor
801,Pemkab Magelang
802,Pemerintah Magelang
803,Pemkab Sragen
804,Pemerintah Sragen
805,Pemkot Pekalongan
806,Pemkot Semarang
807,Pemkab Banyuwangi
808,Pemerintah Banyuwangi
809,Pemkab Gresik
810,Pemerintah Gresik
811,Pemkab Malang
812,Pemerintah Malang
813,Pemkab Madiun
814,Pemerintah Madiun
815,Pemkab Sampang
816,Pemerintah Sampang
817,Pemkab Situbondo
818,Pemerintah Situbondo
819,Pemkot Mojokerto
820,Pemkab Melawi
821,Pemerintah Melawi
822,Pemkab Banjar
823,Pemerintah Banjar
824,Pemkab Barito Kuala
825,Pemerintah Barito Kuala
826,Pemkab Kotabaru
827,Pemerintah Kotabaru
828,Pemkab Aceh Besar
829,Pemkab Aceh Singkil
830,Pemkab Aceh Tamiang
831,Pemkab Aceh Utara
832,Pemkab Barito Timur
833,Pemkab Bener Meriah
834,Pemkab Flores Timur
835,Pemerintah Kabupaten Flores
836,Pemkab Flores
837,Pemkab Halmahera Barat
838,Pemkab Halmahera Timur
839,Pemkab Jayapura
840,Pemkab Karimun
841,Pemkab Katingan
842,Pemkab Anambas
843,Pemerintah Kabupaten Anambas
844,Pemkab Kepulauan Anambas
845,Pemkab Lampung Timur
846,Pemkab Lembata
847,Pemkab Lombok Barat
848,Pemkab Lombok Utara
849,Pemkab Malaka
850,Pemkab Maluku Tenggara
851,Pemkab Maluku Tenggara Barat
852,Pemkab Merauke
853,Pemkab Nagan Raya
854,Pemkab Ngada
855,Pemkab Pidie Jaya
856,Pemkab Taliabu
857,Pemerintah Kabupaten Taliabu
858,Pemkab Pulau Taliabu
859,Pemkab Sarmi
860,Pemkab Sikka
